City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
295,Hvolsvollur,IS,63.7533,-20.2243,30.99,81,91,11.01
296,Qaqortoq,GL,60.7167,-46.0333,19.4,42,0,4.61
297,Pisco,PE,-13.7,-76.2167,75.2,73,0,8.05
298,Male,MV,4.1748,73.5089,80.6,83,75,8.05
299,Zapolyarnyy,RU,69.4154,30.8136,24.8,80,75,12.66
300,Alenquer,BR,-1.9417,-54.7383,86.0,74,20,9.22
301,Agadir,MA,30.4202,-9.5982,55.4,100,40,2.46
302,Gualaceo,EC,-2.9,-78.7833,71.6,49,75,11.5
303,Margate,GB,51.3813,1.3862,46.99,86,1,1.99
304,Constitucion,CL,-35.3333,-72.4167,64.51,69,36,5.3
305,Murovane,UA,49.5214,22.9367,28.0,83,100,3.0
306,Haguenau,FR,48.8156,7.7905,50.0,93,90,9.22
307,Vallenar,CL,-28.5708,-70.7581,83.89,28,27,8.25
308,Mana,GF,5.6592,-53.7767,78.8,81,57,13.96
309,Sakaraha,MG,-22.9,44.5333,73.8,89,100,2.17
310,Taltal,CL,-25.4,-70.4833,69.33,62,36,6.85
311,Faya,SA,18.3851,42.4509,57.2,50,20,18.41
312,Sambava,MG,-14.2667,50.1667,77.0,86,28,4.61
313,Brae,GB,60.3964,-1.353,33.8,55,75,19.57
314,Yartsevo,RU,55.0667,32.6964,4.24,95,79,5.35
315,Najran,SA,17.4924,44.1277,68.0,24,0,4.61
316,Almansa,ES,38.8692,-1.0971,54.0,90,92,1.01
317,Mangla,PK,31.8931,72.3817,51.31,66,0,2.1
318,Randolph,US,35.7001,-79.8164,54.0,81,1,8.05
319,Fort-Shevchenko,KZ,44.5086,50.263,42.58,84,100,21.0
320,Sarkand,KZ,45.41,79.9186,31.8,78,93,4.32
321,Burdur,TR,37.7203,30.2908,39.2,81,0,4.61
322,Huarmey,PE,-10.0681,-78.1522,75.13,64,81,11.27
323,Orodara,BF,10.9492,-4.9342,80.6,36,0,4.61
324,Bayeux,BR,-7.125,-34.9322,80.6,78,0,6.91
325,Sokoni,TZ,-6.4333,39.55,80.6,83,20,9.22
326,Aswan,EG,24.0934,32.907,61.48,45,0,13.87
327,Maracay,VE,10.2469,-67.5958,89.6,45,40,6.17
328,Koupela,BF,12.1794,-0.3517,81.52,16,0,8.7
329,Banapur,IN,19.7833,85.1833,66.87,64,18,4.94
330,Kasongo-Lunda,CD,-6.4667,16.8167,72.05,89,100,1.68
331,Khakhea,BW,-24.6895,23.494,68.45,84,94,8.32
332,Suez,EG,29.9737,32.5263,59.77,81,5,9.73
333,Vokhtoga,RU,58.8147,41.0461,0.68,92,100,8.5
334,Cururupu,BR,-1.8283,-44.8683,80.02,72,33,5.19
335,Cayce,US,33.9657,-81.074,57.99,44,75,9.22
336,Kholm-Zhirkovskiy,RU,55.5189,33.4731,4.06,94,100,7.76
337,Andra,RU,62.5147,65.8878,11.64,97,100,4.23
338,Namibe,AO,-15.1961,12.1522,72.28,75,30,3.4
339,Zonguldak,TR,41.25,31.8333,43.92,67,76,3.65
340,Pionerskiy,RU,54.9508,20.2275,12.2,92,75,6.71
341,Beinamar,TD,8.6698,15.3813,77.2,18,19,5.82
342,Hawick,GB,55.4227,-2.7867,37.0,97,100,10.0
343,Malanje,AO,-9.5402,16.341,65.89,90,100,1.66
344,Paamiut,GL,61.994,-49.6678,20.5,77,0,8.52
345,Bardiyah,LY,31.7561,25.0865,59.0,88,48,11.12
346,Ust-Tsilma,RU,65.441,52.1498,-13.22,87,100,9.08
347,Turtas,RU,58.9417,69.1325,31.26,98,100,8.5
348,Georgiyevka,KZ,43.0369,74.7114,30.2,80,100,8.95
349,Harper,LR,4.375,-7.7169,79.45,89,38,7.94
350,Mykolayiv,UA,46.9659,31.9974,32.0,80,0,6.71
351,Kochubey,RU,44.3861,46.5825,39.45,71,53,22.57
352,Moussoro,TD,13.6408,16.4901,70.03,22,0,14.76
353,Chipurupalle,IN,18.3,83.5667,64.18,74,1,2.89
354,Belousovka,KZ,50.1339,82.5239,30.2,93,90,8.95
355,Antofagasta,CL,-23.65,-70.4,68.0,73,20,16.11
356,Karasjok,NO,69.4719,25.5112,26.6,80,75,21.85
357,Harnosand,SE,62.6323,17.9379,19.0,92,0,10.36
358,Illapel,CL,-31.6308,-71.1653,77.76,38,0,7.96
359,Tombouctou,ML,20.0,-3.0,81.28,14,100,7.72
360,Shentala,RU,54.45,51.4833,23.56,99,100,14.12
361,Qom,IR,34.6401,50.8764,51.12,65,97,2.39
362,Aquiraz,BR,-3.9014,-38.3911,82.4,74,40,12.66
