City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
102,Huacho,-11.1067,-77.605,71.24,76,100,8.21,PE,2021-02-04 01:26:10
103,Busselton,-33.65,115.3333,66.0,53,0,1.01,AU,2021-02-04 01:26:10
104,Amapa,1.0,-52.0,73.15,98,100,2.06,BR,2021-02-04 01:26:10
105,Maine-Soroa,13.2114,12.0241,67.3,23,100,11.14,NE,2021-02-04 01:26:10
106,Doha,25.2867,51.5333,62.6,82,0,3.44,QA,2021-02-04 01:26:10
107,Luena,-11.7833,19.9167,62.01,96,100,3.58,AO,2021-02-04 01:26:10
108,Canutama,-6.5339,-64.3831,77.18,88,100,0.51,BR,2021-02-04 01:26:10
109,Laguna,38.421,-121.4238,55.99,62,75,6.91,US,2021-02-04 01:26:11
110,Wajir,1.7471,40.0573,72.25,72,47,13.2,KE,2021-02-04 01:26:11
111,Cozumel,20.5083,-86.9458,66.2,77,1,8.16,MX,2021-02-04 01:23:43
112,Centralia,46.7162,-122.9543,43.0,100,40,0.51,US,2021-02-04 01:26:11
113,Nemsova,48.967,18.1189,39.0,96,100,5.53,SK,2021-02-04 01:26:11
114,Monrovia,6.3005,-10.7969,79.47,84,94,7.65,LR,2021-02-04 01:26:12
115,Ouesso,1.6136,16.0517,75.83,80,100,3.09,CG,2021-02-04 01:26:12
116,Nikel,69.4128,30.222,26.6,80,90,17.27,RU,2021-02-04 01:26:12
117,Tripoli,32.8752,13.1875,60.57,62,0,6.11,LY,2021-02-04 01:25:27
118,Senovo,46.0236,15.4769,46.4,93,90,3.44,SI,2021-02-04 01:26:12
119,Rafraf,37.1904,10.1837,50.0,93,20,2.3,TN,2021-02-04 01:26:12
120,Padang,-0.9492,100.3543,77.0,88,40,2.3,ID,2021-02-04 01:23:21
121,Cayenne,4.9333,-52.3333,80.6,83,75,11.5,GF,2021-02-04 01:26:13
122,Warren,39.4334,-84.1666,28.4,100,1,3.83,US,2021-02-04 01:26:13
123,Zwedru,6.0667,-8.1281,73.44,93,18,2.91,LR,2021-02-04 01:26:13
124,Tartus,34.889,35.8866,62.6,42,0,10.36,SY,2021-02-04 01:26:13
125,Bilma,18.6853,12.9164,60.57,32,0,14.9,NE,2021-02-04 01:26:13
126,Dingle,10.9995,122.6711,79.77,81,100,14.58,PH,2021-02-04 01:26:13
127,Mahibadhoo,3.7833,72.9667,81.99,72,100,17.47,MV,2021-02-04 01:26:14
128,Nurota,40.5614,65.6886,39.2,87,4,9.22,UZ,2021-02-04 01:26:14
129,Upata,8.0086,-62.3989,79.0,83,21,5.99,VE,2021-02-04 01:26:14
130,Kattivakkam,13.2167,80.3167,69.8,88,20,2.3,IN,2021-02-04 01:24:02
131,Luderitz,-26.6481,15.1594,65.7,71,0,13.29,NA,2021-02-04 01:22:27
132,Turtas,58.9417,69.1325,1.71,94,68,5.95,RU,2021-02-04 01:26:14
133,Sayyan,15.1718,44.3244,40.14,64,0,2.71,YE,2021-02-04 01:26:14
134,Mazagao,-0.115,-51.2894,80.6,89,20,5.75,BR,2021-02-04 01:26:15
135,Narsaq,60.9167,-46.05,12.2,57,98,4.61,GL,2021-02-04 01:22:54
136,Nanortalik,60.1432,-45.2371,15.84,81,100,13.76,GL,2021-02-04 01:26:15
137,Tabou,4.423,-7.3528,78.12,88,0,6.87,CI,2021-02-04 01:23:17
138,Baleshwar,21.4942,86.9317,55.6,43,0,6.15,IN,2021-02-04 01:26:16
139,Ancud,-41.8697,-73.8203,61.0,77,0,5.75,CL,2021-02-04 01:21:31
140,Abalak,58.1286,68.5944,1.4,94,23,6.22,RU,2021-02-04 01:26:16
141,Baft,29.234,56.6057,36.19,64,0,2.37,IR,2021-02-04 01:26:16
142,Mandali,33.7499,45.5541,55.8,39,19,0.45,IQ,2021-02-04 01:26:16
143,Gat,31.61,34.7642,60.01,57,6,1.01,IL,2021-02-04 01:25:03
144,Ornskoldsvik,63.2909,18.7153,12.2,85,20,12.66,SE,2021-02-04 01:26:16
145,Laukaa,58.7372,29.8453,17.15,96,100,9.4,RU,2021-02-04 01:26:16
146,Jawor,51.0513,16.1935,46.0,80,84,15.26,PL,2021-02-04 01:26:17
147,Khash,28.2211,61.2158,36.88,70,0,5.39,IR,2021-02-04 01:26:17
148,Saint-Augustin,51.226,-58.6502,35.2,97,100,8.5,CA,2021-02-04 01:26:17
149,Marathon,44.9,-89.7668,28.99,64,1,11.5,US,2021-02-04 01:26:17
150,Codrington,-38.2667,141.9667,78.82,35,100,10.76,AU,2021-02-04 01:26:17
151,Reconquista,-29.15,-59.65,65.5,93,0,2.46,AR,2021-02-04 01:26:17
152,Halifax,44.6453,-63.5724,39.2,100,100,5.75,CA,2021-02-04 01:23:21
153,Margate,51.3813,1.3862,45.0,89,7,1.99,GB,2021-02-04 01:26:18
154,Andilamena,-17.0167,48.5833,67.1,92,99,4.88,MG,2021-02-04 01:26:18
155,Marcavelica,-4.8778,-80.7053,78.33,60,3,11.79,PE,2021-02-04 01:26:18
156,Grand-Santi,4.25,-54.3833,74.14,96,100,3.85,GF,2021-02-04 01:26:18
157,Faya,18.3851,42.4509,55.4,43,0,3.67,SA,2021-02-04 01:24:02
158,Muisne,0.6,-80.0333,77.31,88,22,1.95,EC,2021-02-04 01:26:18
159,Muros,42.7762,-9.0603,54.0,84,1,15.43,ES,2021-02-04 01:26:19
160,Ostersund,63.1792,14.6357,3.2,92,40,4.61,SE,2021-02-04 01:26:19
161,Korla,41.7597,86.1469,23.77,85,0,2.46,CN,2021-02-04 01:26:19
162,Ilulissat,69.2167,-51.1,-5.8,41,3,10.36,GL,2021-02-04 01:26:19
163,Rocha,-34.4833,-54.3333,66.74,95,100,9.35,UY,2021-02-04 01:26:19
164,Cidreira,-30.1811,-50.2056,76.59,92,100,10.74,BR,2021-02-04 01:26:19
165,Malangali,-8.5667,34.85,61.54,89,100,5.14,TZ,2021-02-04 01:26:20
166,Tabira,-7.5908,-37.5394,75.06,63,60,14.47,BR,2021-02-04 01:26:20
167,Jurm,36.8648,70.8342,22.98,65,0,6.6,AF,2021-02-04 01:26:20
168,Ilhabela,-23.7781,-45.3581,77.31,85,8,6.2,BR,2021-02-04 01:26:20
169,Strezhevoy,60.7333,77.5889,10.4,85,90,2.24,RU,2021-02-04 01:26:20
170,Waw,7.7029,27.9953,75.94,25,0,1.1,SS,2021-02-04 01:26:20
171,Reitz,-27.8014,28.4273,57.42,97,100,2.1,ZA,2021-02-04 01:26:20
172,Kambove,-10.8764,26.5969,59.83,95,98,2.89,CD,2021-02-04 01:26:13
173,Thinadhoo,0.5333,72.9333,82.29,74,100,8.84,MV,2021-02-04 01:26:21
174,Nhlangano,-27.1167,31.2,61.7,100,90,3.09,SZ,2021-02-04 01:26:21
175,Petukhovo,55.0692,67.9019,5.22,94,96,3.4,RU,2021-02-04 01:26:21
176,Yaval,21.1667,75.7,64.49,28,0,4.63,IN,2021-02-04 01:26:21
177,Buraydah,26.326,43.975,59.0,55,0,2.3,SA,2021-02-04 01:26:22
178,Beira,-19.8436,34.8389,80.6,94,20,2.3,MZ,2021-02-04 01:26:22
